MartTRS,-5,0,-13,180,0,1,0,1,1,1
MartDoorEntrance,66.5,8,-47.3,180,0,1,0,1,1,1
MartDoorExit,-66.5,8,-47.3,180,0,1,0,1,1,1
Floor,0,0.1,-0.1,180,0,1,0,1,1,1
StaffDoorL,66.4,8,25.3,180,0,1,0,1,1,1
StaffDoorR,-66.4,8,25.3,180,0,1,0,1,1,1
Road,0,0,0,0,0,1,0,1,1,1
Fence,0,0,0,0,0,1,0,1,1,1
Shutter,0,8,49.7,0,0,1,0,1,1,1
Camera,-71,14.5,23.8,45,0,1,0,1,1,1
Camera,71,14.5,-45,215,0,1,0,1,1,1
Board1,65,14.5,10,90,0,1,0,1,1,1
Board2,65,14.5,-6,90,0,1,0,1,1,1
Board3,65,14.5,-21,90,0,1,0,1,1,1
Board4,65,14.5,-36,90,0,1,0,1,1,1
Lights,30,15.5,-28,90,0,1,0,1,1,1
Lights,30,15.5,2,90,0,1,0,1,1,1
Lights,-5,15.5,-28,90,0,1,0,1,1,1
Lights,-5,15.5,2,90,0,1,0,1,1,1
GuardHouse,-81,0.5,-116,0,0,1,0,1,1,1
GuardControl,75.8,0.5,102.5,180,0,1,0,1,1,1
Trolley,-29,0.5,25,0,0,1,0,1,1,1
