PoliceVan,100,2.7,150,180,0,1,0,1,1,1,0,1
Police1,60,5,80,0,0,1,0,1,1,1,100,1
Police1,75,5,70,0,0,1,0,1,1,1,100,1
PoliceVan2,100,2.7,-60,180,0,1,0,1,1,1,0,1
Police2,60,5,-140,0,0,1,0,1,1,1,100,1
Police2,75,5,-130,0,0,1,0,1,1,1,100,1
PoliceVan3,-110,2.7,150,180,0,1,0,1,1,1,0,1
Police3,-70,5,80,0,0,1,0,1,1,1,100,1
Police3,-85,5,70,0,0,1,0,1,1,1,100,1
PoliceVan4,-110,2.7,-60,180,0,1,0,1,1,1,0,1
Police4,-70,5,-140,0,0,1,0,1,1,1,100,1
Police4,-85,5,-130,0,0,1,0,1,1,1,100,1
Escape,-5,2.7,-140,180,0,1,0,1,1,1,100,1
