B3Front01,-184.5,0,-252,0,1,0,0,1,1,1
B3Front02,-136,0,-252,0,1,0,0,1,1,1
B3Front03,-78.4,0,-269,0,1,0,0,1,1,1
B3Front04,-78.4,0,-318,0,1,0,0,1,1,1
B3Front05,-78.4,0,-367,0,1,0,0,1,1,1
B3Front06,75,0,-367.6,0,1,0,0,1,1,1
B3Front07,75,0,-318,0,1,0,0,1,1,1
B3Front08,75,0,-269,0,1,0,0,1,1,1
B3Left01,280,0,36,270,0,1,0,1,1,1
B3Left02,327,0,-190,270,0,1,0,1,1,1
B3Left03,327,0,148,270,0,1,0,1,1,1
B3Left04,280,0,148,270,0,1,0,1,1,1
B3Left05,280,0,196.5,270,0,1,0,1,1,1
B3Right01,-323,0,220,90,0,1,0,1,1,1
B3Right02,-323,0,172.5,90,0,1,0,1,1,1
B3Right03,-275,0,125,90,0,1,0,1,1,1
B3Right04,-275,0,32,90,0,1,0,1,1,1
B3Right05,-323,0,-16.5,90,0,1,0,1,1,1
B3Right06,-323,0,-64.5,90,0,1,0,1,1,1
B3Right07,-227.5,0,125.4,90,0,1,0,1,1,1
B3Right08,-227.5,0,32,90,0,1,0,1,1,1
