B1Front01,115,0,-258,0,0,1,0,1,1,1
B1Front02,143,0,-258,0,0,1,0,1,1,1
B1Front03,171,0,-258,0,0,1,0,1,1,1
B1Front04,-96,0,-239,0,0,1,0,1,1,1
B1Front05,-67.7,0,-239,0,0,1,0,1,1,1
B1Left01,392.8,0,24.6,270,0,1,0,1,1,1
B1Left02,392.8,0,51,270,0,1,0,1,1,1
B1Left03,392.8,0,79,270,0,1,0,1,1,1
B1Left04,392.8,0,106.5,270,0,1,0,1,1,1
B1Left05,392.8,0,134.5,270,0,1,0,1,1,1
B1Left06,392.8,0,162.7,270,0,1,0,1,1,1
B1Right01,-270.6,0,-82,90,0,1,0,1,1,1
B1Right02,-270.6,0,-110,90,0,1,0,1,1,1
B1Right03,-270.6,0,-138,90,0,1,0,1,1,1
B1Right04,-270.6,0,-166,90,0,1,0,1,1,1
B1Right05,-270.6,0,-194,90,0,1,0,1,1,1
